v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,target
-1.79182,1.31592,-0.28224,-0.3785,2.95321,-0.7147,-0.42026,-1.39748,2.05002,-0.80596,-0.49453,-1.09583,1.87561,0
-0.45521,-1.33345,-1.77811,1.39748,-1.62892,1.36608,-1.18882,-1.38591,0.74381,-1.07931,-0.74237,-4.04998,-0.1703,0
-0.90636,0.51151,-3.61632,3.79426,-4.85577,-3.12483,-0.31767,-2.98563,-3.13077,0.06594,1.03115,-4.63816,0.65543,1
-1.96541,-1.0661,0.47687,-2.43225,1.6413,3.69607,-1.05026,-4.07069,2.65876,-2.75157,0.71722,-3.34316,-0.71765,0
1.07993,-1.10004,-0.83995,0.50972,1.65457,3.58537,-0.1537,1.76826,4.59162,-0.81505,-2.2475,-0.35328,1.50107,1
2.27788,-3.29779,1.05717,2.10767,-4.05738,4.40045,-3.20596,2.69205,-1.49764,-1.38737,-1.7014,-2.01183,-1.28333,1
0.06463,-1.0828,0.86048,0.57546,-0.59049,3.33565,-2.29308,-0.33238,0.69775,-2.1965,-0.65888,-2.05239,-0.73434,1
1.93399,2.69105,-0.7267,4.11557,-2.64865,1.08434,0.31746,0.22568,-0.12165,-1.4923,1.19208,1.9838,-0.48948,1
-2.37473,-3.34689,1.90742,-2.73852,1.68248,3.32193,-3.93662,-1.76706,0.79665,-2.30912,-1.60735,-5.38496,0.0557,0
2.33733,2.54978,-0.70535,3.43635,-4.2766,3.89718,1.22321,-2.42949,0.29785,-2.97384,3.43489,1.97866,-0.07686,1
-1.18128,1.60902,-0.10737,0.53342,1.66421,2.07257,-0.83945,-2.5994,2.72235,-2.71154,0.42981,-1.34997,-0.47314,0
0.18303,0.37737,0.5415,-0.18388,1.2924,1.57079,-0.16852,0.22594,1.72041,-0.86657,-0.28015,0.70037,-0.77877,1
1.35636,-1.34557,-0.80693,0.4654,0.54584,3.47839,0.10605,1.54104,3.57543,-0.598,-1.64258,-0.20447,-0.68185,1
0.31827,-0.9266,1.96639,-1.63765,2.7202,1.95401,-0.92528,2.21466,1.80656,-0.24558,-1.60039,1.29282,-1.58827,1
-1.91415,-0.18128,-0.31508,-1.71078,0.792,1.62995,-0.12174,-4.2308,1.45359,-1.83264,1.36386,-2.74134,-0.41591,0
0.79468,1.12434,-1.56032,2.94462,-2.95047,-2.21023,0.44678,0.3174,-2.2049,0.72445,0.5365,0.06919,1.4876,0
-1.67122,-0.62817,0.94093,-4.57755,4.92278,0.7795,1.19316,-1.19832,3.39715,0.24749,-0.1778,0.53587,-0.96375,0
0.13638,0.95839,2.74177,-0.40038,1.63876,1.08302,-1.47877,1.21181,-0.18799,-1.14781,-0.17893,2.03173,1.71538,1
0.57683,1.13982,-1.88066,3.70372,-4.71253,0.67761,-0.29537,-2.60193,-1.6953,-1.7354,1.90236,-2.01414,0.00734,1
1.58786,-2.72264,-0.19583,0.27253,-0.43852,4.00172,-0.90268,2.23947,2.39715,-0.51805,-2.12305,-1.03646,-0.10629,1
2.51045,-2.90014,1.09212,1.69052,-4.41268,3.93165,-2.21291,2.33569,-2.02155,-0.96093,-0.76225,-0.88577,1.12057,1
-0.89684,2.87022,-2.73601,2.70376,-1.34869,-2.70881,1.21683,-2.91027,-0.31812,-0.32227,1.59481,-1.08479,-0.52078,0
-0.1704,-1.61525,-1.97146,-0.02915,-3.42672,-2.12804,1.10353,-1.40414,-2.79808,1.71089,1.00427,-2.19207,0.16009,1
-2.65313,-2.14548,-0.19371,-2.31051,1.28017,1.11644,-1.69899,-3.17801,1.00946,-1.2275,-0.51029,-5.09698,0.29316,0
-2.13376,-0.75667,0.34297,-4.24356,1.61952,2.66067,1.10946,-5.46564,2.09947,-1.74637,2.53369,-1.86336,0.34758,0
1.85132,-1.19622,-1.57288,0.79221,-1.04782,3.90448,1.16892,0.42055,3.29153,-0.68526,-0.39136,-0.01451,-0.00393,1
-0.23378,-2.13292,1.73547,0.26438,0.94388,2.69885,-3.89489,2.02611,0.64375,-1.55751,-2.88699,-2.62429,0.92402,0
0.74572,0.35619,-1.13367,1.67537,-2.6444,0.26745,0.5204,-0.89538,-0.87428,-0.32964,1.06991,-0.34774,0.46664,1
2.2174,2.87441,-1.05785,2.67624,-2.42188,2.03905,2.36439,-1.15523,1.06524,-1.40027,2.69209,3.32628,-0.22181,1
-0.34709,-3.31825,0.12195,-0.99971,-0.19502,4.78102,-2.18262,-0.93294,2.22104,-2.03383,-1.39917,-4.17821,-2.02887,1
1.82112,-1.55611,1.86501,0.67262,-1.93487,1.60567,-1.62173,3.0581,-2.03802,0.04353,-0.8973,1.05858,0.21825,1
1.32738,1.16943,4.20132,0.62713,2.43163,-0.20999,-2.53535,5.59125,-1.2642,0.06017,-2.15831,4.46714,-0.56008,1
-0.54844,-2.46509,-2.59315,-0.44706,-3.43155,6.0944,0.32334,-6.35662,2.70262,-3.36262,2.23911,-5.77107,0.77691,0
0.31477,-0.77935,-2.53694,3.47663,-2.12294,-0.41811,-1.34011,0.92186,0.14931,-0.02154,-1.99833,-3.42376,-0.19853,0
1.1159,1.38722,-0.54088,4.69114,-2.78141,-1.16907,-1.88509,1.95037,-2.19284,-0.5027,-0.90397,-0.34569,-0.50343,1
1.60664,0.59165,-1.1165,1.30209,-3.48709,0.18243,1.97899,-0.80359,-1.41667,0.32762,2.17684,1.51453,-0.35006,1
-1.72787,0.36139,-0.69699,-1.73701,0.84705,1.13376,0.83405,-4.37694,1.64672,-1.43998,1.83592,-1.86672,-0.07975,0
-2.17653,1.05432,0.01468,-2.1531,2.93017,1.31764,0.42533,-4.00668,2.90183,-1.87508,1.25935,-1.27256,0.82247,0
0.54524,-1.93342,0.39195,-0.4166,0.52213,3.90244,-1.22362,0.68582,2.46153,-1.33306,-1.41167,-1.35725,1.27797,1
-0.83591,-1.01723,-0.59106,-1.8118,0.35682,2.47043,0.60475,-3.00008,2.03534,-1.206,0.99081,-1.89127,0.86859,0
-1.54802,-3.15095,-0.07481,-2.79671,1.06925,1.64555,-1.01054,-1.47837,1.22477,-0.26068,-1.01049,-3.85743,-0.67646,0
0.32099,-2.5018,-1.24818,1.58458,-2.64641,3.60683,-2.03091,-0.85363,0.85808,-1.84009,-1.06166,-4.50942,1.62577,0
3.18398,0.72834,2.64479,1.37007,-1.13993,5.6095,-0.6335,2.23701,1.11316,-2.45982,0.64273,4.19771,0.60746,1
-0.20567,0.48743,-2.42579,2.70412,-4.591,0.991,-0.02225,-4.22082,-1.19798,-1.91446,2.29259,-3.47771,1.15118,1
-0.56416,2.50593,-0.08008,2.01047,2.71596,-1.39669,-0.99113,1.31832,1.71381,-0.56755,-1.57916,0.65968,-0.16883,0
-0.01015,2.12457,1.89173,-0.29736,3.29995,-2.0606,-0.07806,2.61327,0.14543,0.77973,-0.85209,3.67699,1.32656,0
-1.33365,-0.03481,-0.62018,0.47198,0.51788,1.29404,-1.4081,-2.11546,1.4537,-1.82838,-0.34158,-3.13074,-0.09734,0
1.93352,3.87916,-1.41339,6.32167,-4.07603,0.88491,-0.31933,-0.60335,-0.72702,-2.47518,1.61924,1.14188,-0.92666,1
-0.51407,-1.43265,0.44623,-0.52704,1.17515,3.40823,-1.82248,-0.5101,2.44783,-1.91408,-1.26823,-2.4385,0.10062,1
0.27418,-2.54704,-1.45551,-0.49589,-0.0534,4.78775,-0.23715,-1.14473,4.01588,-1.57511,-1.02754,-3.13236,-1.65819,1
-0.26538,0.37199,-1.69862,3.49331,-2.67943,-1.97138,-1.5773,-0.05321,-2.071,-0.13253,-0.72857,-2.89077,-0.94848,1
-0.27133,-0.57431,-1.3667,-0.29348,-1.7112,3.93761,0.67718,-4.35528,2.05699,-2.43221,2.03601,-2.51845,0.3921,0
-2.03885,1.29537,0.20425,-1.40841,3.14594,0.23437,-0.13579,-2.60243,2.30859,-1.37894,0.40642,-0.94546,-0.68141,0
-1.40223,2.25396,-0.54518,4.39424,0.01651,-0.06577,-3.77728,-0.96487,0.36525,-3.02848,-1.39795,-3.63406,2.27218,0
-1.3634,-1.4732,-1.70009,2.11783,-2.04078,0.88719,-2.84063,-2.0037,-0.24324,-1.74969,-1.18207,-6.18405,-0.07109,0
1.88518,0.69581,1.12706,3.07473,-2.94377,4.21635,-1.93278,0.24482,-0.32457,-3.03746,0.65019,0.40461,-0.05883,1
0.47029,-2.658,0.87186,-0.72074,0.04803,3.10146,-1.76501,1.34309,1.01046,-0.72154,-1.71839,-1.65255,-0.8901,1
-0.66448,0.49796,2.94448,-3.08061,4.3252,0.71042,-0.27289,0.95536,1.45768,-0.24608,-0.355,2.6862,0.776,1
1.0428,-0.75874,-0.97811,2.66655,0.50001,-2.39555,-1.32375,5.3372,-0.00413,2.11702,-4.04929,-0.17029,0.33021,0
0.30744,1.8141,-1.74647,4.33786,-2.73807,-0.39717,-1.00273,-0.88177,-0.76159,-1.41322,0.26319,-1.66014,-0.36202,1
-1.76551,0.43983,2.1635,-3.60468,4.8634,0.85416,-0.20188,-0.99763,2.40889,-0.79765,-0.0673,0.91627,-1.49789,0
-1.62431,-0.68466,-0.61926,-2.26526,1.15519,2.92814,0.4521,-4.37773,2.86997,-1.98582,1.31197,-2.66929,0.83195,1
1.54323,0.60228,0.49199,2.31615,-3.19134,4.92263,-1.0154,-1.64924,0.36498,-3.40522,1.71584,-0.15496,-0.98249,1
1.40707,-0.69008,0.57551,0.86235,-2.71228,2.7365,-0.47641,-0.11426,-0.86026,-1.18981,0.90814,0.18668,-0.27029,1
-1.25277,-3.54625,-0.69486,-0.40823,-1.87847,-2.30737,-2.17245,0.59251,-3.22863,1.64609,-1.93747,-4.8941,-2.79469,1
0.5438,1.25477,-3.63691,4.80843,-2.40617,-1.08479,-0.01037,-0.07463,0.777,-0.2738,-0.88411,-2.29164,-0.66951,0
0.12036,0.09732,3.25599,-0.22243,0.65322,1.36493,-2.62757,1.45154,-1.43517,-1.3709,-0.45997,1.00533,0.13575,1
-0.45933,2.67717,-0.16982,1.99744,1.38001,-0.9462,-0.54433,-0.06123,0.96395,-1.00043,-0.24377,0.62643,-0.75397,1
-1.44094,1.87089,-0.79111,0.88077,1.6757,-2.11558,-0.25704,-0.98835,0.67844,-0.25442,-0.28918,-0.81688,-0.31326,0
-3.88775,2.21069,1.68998,-0.75991,4.30424,0.60782,-3.34968,-4.00628,1.84226,-3.76222,-0.04568,-3.3678,0.23065,0
0.80906,-2.88243,1.4397,-0.72452,-0.57398,2.91752,-1.99577,1.93481,-0.08835,-0.47079,-1.61924,-1.16343,0.09192,1
-1.68605,0.87182,-2.51935,0.41003,-1.02495,0.56602,0.89569,-5.34076,1.36503,-1.72599,2.06703,-3.45061,1.82032,0
0.30944,3.14554,0.36004,1.968,1.15468,-3.04038,0.30586,1.82804,-0.7545,0.67686,-0.14859,3.09086,-0.20047,0
1.13801,-0.18806,1.59103,1.25959,0.83901,2.21957,-2.09051,3.01096,0.98695,-1.06466,-1.97296,0.89045,1.7354,1
0.11565,0.5159,-2.17582,2.55932,-4.30106,0.56996,0.23093,-3.30808,-1.34349,-1.36248,2.05763,-2.55728,-1.41873,1
0.14306,1.55632,-1.61882,2.40843,-1.68732,0.71792,0.30027,-2.0355,0.65856,-1.47402,1.12397,-0.94201,-0.54243,0
-0.23002,3.31355,-4.20071,5.83213,-3.66776,-4.20779,0.63449,-1.85019,-1.7303,0.07803,0.9044,-2.03317,-0.10507,1
0.18893,-3.94752,-0.8164,2.09218,-3.8128,4.25198,-3.98286,-0.38335,-0.3468,-2.30743,-1.99816,-6.63552,-1.52649,0
0.50889,0.34958,-2.3289,1.65425,-4.37859,-0.24755,1.63734,-2.9802,-1.70346,-0.16789,2.57546,-1.21067,-0.91132,1
0.87084,-1.09626,0.39419,1.52668,-3.35283,2.34182,-1.66747,-0.38163,-1.69497,-1.48726,0.42891,-1.61771,0.53329,1
-2.55965,-1.03086,-0.13782,-0.74921,0.46541,2.33558,-2.49615,-4.1855,1.17933,-2.90652,0.08454,-5.49641,-0.13845,0
-1.24671,-1.4487,-2.55475,-0.06074,-0.80045,-0.01746,0.20161,-2.47892,1.06014,-0.05351,-0.23886,-4.20312,-0.04444,0
-0.36609,0.96695,-0.6696,2.95164,0.50013,-0.44005,-2.15712,1.09671,0.78034,-0.99841,-2.00322,-1.79293,1.36721,0
-0.57874,-1.29543,-2.86345,1.57886,-1.95156,0.20736,-0.36875,-1.66424,0.67613,-0.30569,-0.65327,-4.36512,0.80347,1
-2.04617,1.82083,-1.96098,-0.88366,1.59982,0.17528,1.77506,-5.07535,2.92073,-1.42516,2.01497,-1.65448,-0.4605,0
-1.32977,-2.71846,1.46467,0.32242,-0.0512,3.30412,-5.07509,-0.19613,0.03484,-2.74112,-2.4349,-5.51416,-1.20419,0
-1.50885,0.38501,1.67039,-1.21086,3.30563,2.59187,-2.01461,-1.2602,2.65018,-2.53594,-0.67597,-1.21199,0.29125,1
-0.56126,-0.02491,-2.06182,2.85211,-3.47848,-0.6254,-1.17677,-2.16126,-1.72645,-0.95236,0.434,-3.92183,-0.44125,1
-1.4759,2.644,-0.19591,0.17814,2.74182,-0.70293,0.19021,-1.88049,2.04403,-1.21184,0.47852,0.22616,0.05041,0
-2.41384,3.09344,0.12539,0.34999,4.83836,-4.72315,-0.709,0.59346,0.8627,0.66417,-1.56866,0.41776,0.39613,0
-3.37939,2.13176,1.98749,-3.79909,8.19552,-0.47481,-0.46495,-1.65396,4.40216,-1.21078,-0.80287,0.60032,-0.23533,0
0.17171,-0.76192,3.81126,-0.95297,2.65374,1.01571,-3.14986,3.84546,-0.50234,-0.43391,-2.43135,1.42463,-0.37576,1
-0.23895,1.38475,-2.93659,3.97045,-2.17932,-5.67098,0.03406,1.18377,-2.72138,2.14725,-1.0471,-1.47667,-0.36037,1
1.8852,-3.37298,-0.58713,2.61091,-3.84316,5.29577,-2.83756,1.36972,0.60234,-2.01598,-1.9299,-3.74552,0.42467,0
-0.31197,1.40893,-3.11252,3.24183,-2.94555,-0.09873,0.45303,-3.27232,0.24583,-1.37029,1.35236,-2.81267,0.46675,0
0.23126,-3.61217,-0.72695,-1.24354,0.62251,4.78439,-0.97925,0.14392,3.80934,-1.09523,-2.08686,-3.32768,-0.21728,1
0.04548,3.9082,-2.10486,4.21224,-0.75884,-2.31582,0.59852,-0.81746,0.25984,-0.6663,0.67472,0.59362,0.21881,0
-4.49311,2.85515,-0.63868,0.13604,2.27723,0.32257,-2.06443,-7.48935,1.89513,-4.32859,1.79918,-5.34027,-0.47714,0
0.12647,2.74528,-0.65867,1.85788,0.77744,-1.20497,0.72085,-0.01371,0.87873,-0.32196,0.37082,1.65791,-1.2518,0
1.59042,-0.12809,0.96256,1.34001,1.29466,1.99104,-1.20798,3.79302,1.92865,-0.39247,-2.36162,1.66566,0.79141,1
1.25983,-4.48915,-2.51394,1.29958,-3.54388,1.13301,-0.81834,2.02238,-0.33591,1.39776,-2.55169,-4.19438,0.22423,0
-0.59717,1.09968,1.36534,-1.05961,2.81735,0.32265,-0.26955,0.17146,1.40629,-0.62026,-0.21142,1.38817,-0.60304,0
4.21271,4.79118,1.30303,5.72422,-2.9812,6.05135,0.05657,0.7871,1.76366,-4.5342,2.48381,5.79503,-1.01116,1
-2.24326,-0.24212,-1.50098,-2.07049,0.35652,2.93912,0.86092,-6.62038,2.85702,-2.61662,2.44843,-3.86518,0.36156,0
0.24879,-1.56174,0.32211,-0.12192,0.14996,3.6744,-1.40691,-0.05377,2.02361,-1.67368,-0.9909,-1.77246,-0.25303,1
3.49624,2.56542,1.51416,3.0577,-1.16402,2.91043,0.45383,3.1165,0.71786,-1.33125,0.62937,5.6612,0.44119,1
1.55713,-0.60954,-0.24962,1.45292,-2.6936,2.92347,-0.19894,-0.07378,0.05983,-1.21023,0.58002,-0.14462,1.09446,1
2.929,2.72992,0.22636,3.63714,-4.09967,5.45013,0.70982,-1.82848,0.7757,-3.79947,3.37196,2.87063,0.682,1
0.25478,-0.44243,-0.39294,2.18255,-3.61985,3.28695,-1.82848,-2.50973,-0.71703,-2.87101,1.10768,-3.0872,0.92085,1
-0.73678,2.12367,-2.92747,1.45696,-2.67162,-0.62781,2.27005,-5.24652,-0.04256,-1.06634,3.41228,-1.45528,-0.75869,0
-1.55877,4.21631,-1.94773,4.49337,2.25115,-5.48897,-1.19521,1.10664,0.35449,0.30849,-2.06025,-0.70769,0.337,0
-1.2422,-2.26107,-0.65342,-0.15573,-1.16555,3.4573,-2.20539,-2.97583,1.12886,-2.47057,-0.31382,-5.39675,1.55281,0
-1.9643,1.62251,-0.26385,-0.52612,2.18305,-1.52448,-0.04256,-2.18319,0.84724,-0.59347,0.43288,-0.92807,0.30094,0
1.30708,-5.36473,-0.4547,0.53714,-4.25597,6.92093,-2.85347,-0.32657,0.74359,-2.34153,-1.39805,-5.57299,1.89277,0
2.20094,-1.66559,0.75177,0.18137,-0.65607,2.57423,-0.14258,3.19267,0.76099,0.33858,-1.28585,1.6359,0.59385,1
-1.74923,0.79163,-1.03682,-0.55675,1.67367,1.35889,0.05674,-3.56708,2.85805,-1.90503,0.65091,-2.34856,1.48506,0
0.98374,0.9877,-0.41768,4.12736,-2.70748,-0.52881,-1.88552,1.48008,-1.92193,-0.73785,-0.74023,-0.6751,0.17822,1
0.78515,-0.40597,2.47915,0.62126,-0.5815,1.95678,-2.46111,1.73992,-1.32654,-1.31649,-0.62227,0.57451,-0.05749,1
-2.02196,-0.91779,-2.88652,-2.36891,-2.18667,4.0639,2.32987,-9.31612,2.56336,-2.91795,4.4387,-4.9649,0.35896,0
-0.82198,0.55801,-2.46013,3.8229,-4.06575,0.21783,-1.66846,-3.47886,-1.35031,-2.18831,0.8817,-4.97475,-0.29974,1
-0.79688,0.1625,0.08013,0.67191,0.27743,2.68317,-1.68661,-1.97453,1.65969,-2.60745,-0.04308,-2.40379,0.84965,1
-0.05165,-4.67528,-4.12272,-1.61007,-3.14047,1.07053,2.19333,-2.34198,1.0308,1.73495,-0.01921,-4.97331,1.4781,0
-3.62334,-0.72513,-1.37358,-4.79931,1.4328,3.15491,1.79068,-9.34593,3.38112,-2.75613,3.78156,-4.67417,-1.16958,0
-2.35496,0.15909,-2.05461,-1.76848,1.68205,-0.80717,1.39272,-4.09371,2.17299,-0.19553,0.91216,-2.78362,0.4293,0
-0.50057,-3.28832,-0.76447,0.54517,-1.69408,2.24124,-2.68744,-0.28503,0.08064,-1.0162,-1.90457,-5.26058,1.14333,0
1.37258,2.6637,-1.60161,6.26999,-2.76331,-3.66913,-1.21964,3.14477,-2.57235,0.65972,-1.3925,0.57115,-1.44607,0
0.64441,-2.25256,-0.75118,-1.9323,-3.75805,4.95458,1.67882,-4.6275,0.405,-1.74037,3.39364,-1.73234,0.37688,0
