v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,target
-0.33596,0.06473,-0.53057,0.68594,-0.44054,-0.36498,-0.51299,-2.42455,-1.3369,0.69411,-0.44418,1.84608,-32.68461194040543
1.0292,-1.53585,2.13504,0.50975,0.82345,1.05877,0.07768,0.97891,-0.50606,-1.2805,1.27773,0.26869,214.16221974827272
-0.08804,-0.7257,0.46985,0.4203,-0.0823,-1.00281,0.0282,2.88958,0.92727,-0.6753,-1.45306,0.58825,-0.3966765108114979
-1.05526,-0.29978,-0.9155,-0.52386,-0.03896,0.37031,-1.34425,0.34682,1.11614,-2.5524,-0.57438,-2.87908,-144.34158682556244
0.35051,-1.14569,-0.93686,0.60804,-1.42485,-1.55735,1.18035,0.95229,-1.611,0.14829,0.61406,0.61836,-46.387202616128164
0.0514,-0.81274,-0.33225,0.11456,-0.55372,-0.15455,-0.35166,-1.37483,0.51693,1.31189,-0.22216,-0.79405,-37.08308370433771
-0.65619,-0.65099,0.56893,0.74561,-0.82671,0.14819,0.64561,0.08123,1.28349,0.76171,0.05326,0.6496,-90.89565736444874
1.59468,-0.87042,-0.81389,-0.03068,-0.00372,-0.67891,0.26735,1.03729,-0.15013,0.85212,-0.10335,1.24469,156.513630764865
0.10151,-1.09027,-0.38905,-0.03827,-0.29472,-0.218,0.58232,-2.11258,1.02096,0.34303,-0.33927,1.02107,-19.731890446627915
-2.71967,-1.1835,1.9661,-0.68788,0.65913,-0.49044,0.69428,-0.67325,0.00203,-1.05493,-0.19069,0.84658,-257.40992810821103
1.14037,0.32568,-0.32694,-1.92914,1.36532,-0.56214,-1.37765,0.0365,0.63723,-0.29117,-0.71883,0.61022,109.649361188484
-0.04804,-0.63494,0.37498,1.72605,-0.45668,0.07104,2.38167,0.5263,-1.64426,0.18736,-1.01743,-0.64665,53.98227784757403
1.37432,0.37887,0.92862,1.71682,0.46102,0.1579,-0.58628,0.58063,-0.24967,-0.43639,-2.71267,1.00252,262.4934546803243
-0.98729,-1.26816,0.41789,-0.30913,-1.97018,0.59469,0.85347,0.29547,-0.92462,-0.70012,-0.15441,0.31073,-288.0432345209056
-1.09933,1.04848,0.55347,0.58742,-0.62418,0.01365,-1.15641,0.58643,2.41538,-0.46159,-0.02207,-0.11765,-127.7299143152813
0.45807,-0.66614,1.34476,-2.47433,0.40163,-0.0934,0.96504,0.48521,0.14981,-0.99073,-0.41717,0.53164,-72.91931606261447
0.56393,1.82817,1.41739,0.36708,1.07129,0.38419,-0.67929,1.03901,-1.0999,0.62496,-0.29103,1.38259,169.37091261098368
1.91028,-0.56901,-0.87702,-1.74979,-0.42116,0.42469,0.01736,0.17557,0.11344,0.2805,0.74513,0.36072,53.32271985954382
0.57986,-0.37272,-1.00056,1.04508,-0.39877,-0.78375,0.90981,-0.32556,0.52306,-0.7743,-0.07403,-0.82103,86.86007047178134
-1.35353,1.81105,1.27495,0.97623,-0.79955,-0.36965,-0.20396,0.16909,0.33865,-0.96461,1.85892,-0.20657,-131.1835574842695
-0.50308,-0.04037,0.35521,-1.80546,0.41012,-1.47489,0.16072,-0.40542,1.39376,1.20049,0.20561,-0.71926,-122.71795226805543
0.84448,-0.36423,-1.09657,-1.41215,-0.8292,2.47799,-0.53241,-1.76037,-0.7954,-0.55747,-0.12146,-0.32971,-73.82546561749233
-1.05046,1.38911,1.19113,0.20611,0.62715,-1.34806,0.93891,-1.92191,-0.57104,0.4687,1.09981,1.06421,-30.14686859286113
0.72224,0.63474,-1.91392,0.64464,-0.70468,-0.14381,-1.2605,0.71929,-1.59098,-2.06981,0.23976,0.17309,52.56943960802332
0.15271,-0.82196,1.51995,-0.3375,-0.69201,-0.46205,-0.33594,0.34052,0.75405,0.49267,-0.31829,0.34871,-66.83926300328655
-1.50144,-1.96685,0.98858,0.50297,-1.62557,-0.06287,-0.69859,0.69837,0.75104,1.05712,-0.05684,0.24022,-259.741181449416
0.26889,-0.98194,-0.88868,-0.46863,-0.17059,0.84791,0.34697,1.09651,0.03713,-0.73834,1.19121,0.32807,-7.601843972728505
-0.24281,0.5643,0.82292,-0.17438,0.58318,0.22581,-1.41262,1.94355,-0.29285,1.90123,-0.00233,1.01462,15.725767056597777
-0.52683,0.88946,1.72254,0.23252,-0.27957,0.51275,-1.94641,1.99962,-1.49882,1.83949,1.65129,-0.41232,-50.58263410686186
0.28581,-0.07017,0.26571,-1.24604,0.87817,-0.32864,-1.58242,0.44538,-1.20964,-1.05117,0.16572,1.22428,29.98592089784556
0.1676,1.21738,-0.09197,-0.27947,1.45191,-1.20653,-0.21406,0.8405,0.10464,1.96204,0.1907,-0.13698,126.87163934131677
0.94388,-2.20165,-0.02125,-1.00689,1.17865,0.49516,1.90818,-0.6636,0.65831,0.47213,-0.4204,0.5708,132.13400198384167
0.50858,-1.06215,-0.05798,0.34043,2.59054,1.82485,1.89888,-0.16375,-0.03106,-1.35864,0.77203,-0.20027,300.87035158250427
-0.54334,-1.98601,-1.77328,-2.03166,-0.58943,0.22505,-1.43308,-0.24849,-0.82622,0.26345,1.07212,-0.65492,-220.7923081418998
0.14953,0.49741,1.40234,-1.71391,-1.20863,-0.36352,-2.14372,0.08087,-0.62707,-0.16723,0.85461,0.05989,-187.4492015868789
0.36089,0.83306,0.49179,0.9895,-0.20695,-0.90557,0.08336,0.62136,0.99695,-0.22465,-0.09333,-1.35982,77.94533644275712
-1.27304,-0.94781,0.01034,-0.16776,1.20318,0.80702,-1.27081,-2.40325,1.56152,1.50601,-1.20452,-0.62443,-41.65405446283172
-0.73371,0.36668,-1.26353,0.27097,-1.50165,-1.05892,-0.05328,0.7444,-0.2442,-1.03805,-0.21844,-0.05387,-187.54791429978783
-0.57419,-1.25576,-0.13933,0.15785,-0.1609,1.1282,-1.06612,-0.28545,-0.60697,1.96261,0.02383,1.76217,-61.084422404600616
-0.78701,-0.77247,-0.95221,-0.03431,-0.04106,0.20361,1.41846,0.71608,0.14317,1.19124,1.02759,-0.63125,-76.53240304715419
1.01807,0.88807,-0.00712,1.07092,-0.05102,-0.75691,-0.45405,-0.66626,-0.15054,1.39495,-1.41378,0.17801,152.69801664084108
1.09355,0.38396,0.77875,0.13403,1.04236,1.56709,-1.43891,0.41874,0.31233,0.33435,-1.10926,-0.91881,199.67617193043225
-1.25212,0.94008,-0.14934,-0.01033,-0.22453,-0.17926,-1.18845,-0.0432,-1.81028,0.04615,-1.6479,0.45802,-156.38783315880914
-0.01454,0.03501,1.12985,-0.1921,-1.27249,1.49407,-0.46584,-0.90347,0.48834,0.30249,-0.31066,-0.53005,-124.92256334834403
0.52231,-0.99056,0.52968,2.23594,0.24059,-0.78651,-0.16546,1.81901,1.38267,0.3829,-0.19667,0.13126,207.93148332320797
-0.56527,-0.05872,-0.442,-0.08221,-1.02477,-2.1697,1.94537,0.24921,0.99925,0.07105,0.37028,-0.73327,-146.89021570212807
1.10811,-0.47084,-0.06619,0.90393,-0.06846,0.71257,-2.14623,-1.27192,-1.9032,2.62099,-0.47869,-2.26646,156.72068548763326
0.53833,-0.3476,-1.15969,0.11024,1.32945,-0.15623,-0.50795,-0.03532,0.71362,0.01937,1.09824,0.02004,183.36936920075988
0.56185,0.8729,0.30858,0.54247,-0.1889,-1.32438,1.80696,0.68002,-0.4189,1.36541,-0.10491,1.57008,72.35039099192947
-0.39484,-0.57433,0.50521,0.60973,-0.67701,1.7792,0.79414,-1.02197,-1.59481,-0.5268,0.57497,-0.03355,-56.27018825573415
-0.10584,0.95465,0.52039,-1.91583,2.02233,-0.82444,-0.67849,-0.05725,-0.57989,-0.23226,-1.05834,0.77234,40.28198630929149
-1.06496,1.80834,-1.28383,-0.28695,-0.82532,0.66383,-0.69932,1.24308,0.61875,0.79384,-0.18038,0.79916,-195.96427361478217
0.16428,-0.07224,-0.50277,0.34749,-0.09741,0.86427,-0.69823,0.54793,-1.40828,-0.53086,0.52058,-0.56747,33.02395646091439
1.31749,-1.04525,0.46089,1.07789,0.23793,0.22216,-0.12655,0.34846,-1.51046,1.12894,0.97464,-0.26191,224.82084404358469
-0.34651,-0.00967,-0.36237,0.00761,-0.17608,1.4344,1.9812,-0.26853,-0.91968,-0.14598,-0.13296,-0.86864,-49.86055647936351
0.62893,0.55153,-0.82137,0.69217,1.51841,-1.24364,-0.51702,-0.54575,-1.55827,0.59606,0.12201,-0.4109,237.20738553312904
0.33388,0.36382,-0.19321,-0.18352,0.40253,0.0332,-0.12529,-0.12136,-1.00835,-1.10898,0.78322,0.72919,62.82286693784393
-0.28131,0.59571,2.86082,-0.45855,-0.38883,-0.64944,-1.17109,-0.02989,-0.38068,-0.63659,-0.04708,0.36026,-89.42487401687906
-1.16391,0.81948,-0.93415,0.19037,0.09293,0.15115,-2.37411,0.94838,0.14441,1.3719,-0.42251,0.41119,-99.32077701893012
0.35355,-0.1898,0.33358,-0.28212,-0.01761,-0.26574,0.46414,-0.32496,2.342,-1.42285,-1.41006,0.95034,6.866627628817846
0.6001,-1.38397,-1.75836,-1.71687,1.51693,0.33451,-0.00456,-0.04902,-0.22597,-0.46224,-0.79631,-1.40681,80.98467704690266
-1.43516,-0.95111,1.00269,-0.65361,-0.19754,0.12515,-0.04696,-0.30944,0.18817,-0.03908,-0.30551,0.13082,-201.885811849089
-1.99673,-0.58868,0.4022,1.03729,-1.06173,1.21206,-2.89629,-2.50279,-0.01196,1.81274,1.34296,0.85848,-217.88218502092874
-0.12621,-0.38516,-0.21179,1.40757,0.17226,0.20337,-0.98047,-0.63111,-0.3806,-0.72411,-0.69626,-0.09738,83.28807836722153
0.34249,-0.94513,-0.13569,0.56201,0.48294,-0.54308,-0.12335,-0.46137,1.99916,-0.08079,0.48112,-0.55927,113.77921130068435
1.40613,-0.52779,0.34538,0.35787,-0.70942,-0.62176,0.08667,-1.18433,-2.14281,-1.13234,0.81943,0.19997,107.05572610187959
-0.71685,0.74805,0.26119,-0.781,-0.30875,-1.10646,-0.80848,0.61674,-1.25167,-0.03728,-1.77311,-0.9183,-157.83080836235118
1.13693,0.51284,0.7641,-1.47743,-0.51757,0.23783,-0.83832,1.7274,-1.59449,0.21901,-1.99508,-0.57128,-34.97873876152244
1.65489,-0.28406,-0.13706,0.05662,0.97803,0.19272,1.71643,-1.4859,0.18711,-0.49638,0.30695,-1.88691,255.74440542199818
-0.57539,-0.20991,-0.98429,-1.63117,0.92148,1.02742,0.11211,-0.10346,-0.01479,-0.06961,-0.84312,1.1636,-82.91391754329824
-0.29831,-0.56339,0.60952,0.98493,-1.46747,0.82349,1.48231,2.486,1.54068,1.43319,-0.58063,-1.11226,-100.3907830706024
-1.26503,-0.18647,-0.68876,-2.29096,0.20329,-0.99529,0.30792,0.91104,0.77621,0.79991,-1.13224,0.66887,-255.81079288083444
1.87894,-1.09023,0.32761,0.96144,-1.83183,-0.58811,1.66524,0.41779,-0.81164,-0.78943,0.39533,1.0203,91.01818630599591
0.13358,-1.48087,0.2257,1.68252,-0.27497,-0.0969,2.08549,-0.00811,-0.83234,-1.24736,-1.1703,0.5842,83.88809721942901
0.20099,-1.10012,1.71803,-0.4074,0.87432,1.41058,-0.96253,-0.56361,0.40741,-0.67733,-0.32133,0.13128,68.90000928262941
-0.69305,2.03547,-0.98843,-2.12942,-0.23879,1.59855,-0.97816,1.8042,-0.37994,-0.97891,0.27595,-1.14136,-217.23151401376867
-2.10966,0.81752,0.84256,-1.64784,-0.8412,-1.79617,-1.61922,0.39681,0.04738,1.02876,-1.02915,-0.57509,-390.5010891589851
0.36954,0.08352,1.58132,1.37467,0.85778,0.46043,-1.01205,-0.4227,1.55665,0.51502,0.01097,1.37869,194.93023210790912
0.71001,1.10109,-1.07822,-0.36321,2.48339,0.42812,0.69449,-1.57722,-1.25478,-0.76178,-1.32582,1.39418,254.14038354450386
0.02711,-1.13684,-0.40796,-0.89751,0.2264,-0.56892,-0.01865,0.49693,0.06483,-1.64151,0.92174,0.79661,-25.510903827442867
-0.29305,-1.66915,-1.35349,-1.65221,0.28852,-0.75778,-0.89469,1.31477,0.89623,-0.45783,-0.46919,1.42196,-107.7828603276712
-0.21939,-1.82616,1.15627,-0.75753,1.14719,1.02828,-0.3773,-1.11558,0.16012,-0.85994,0.41832,-0.63809,34.2983275661196
-0.21789,0.21075,1.8695,-1.98572,-0.30651,-0.19273,-0.57794,-1.22749,-0.16479,1.46366,-0.24295,-1.71208,-170.4966023884432
-0.56891,2.1345,0.79395,-3.30632,0.69836,-0.78792,-0.37859,0.06699,1.2215,-0.51915,0.36721,1.12595,-194.81833629278344
0.78566,1.21852,1.23207,1.15455,1.28726,0.26798,0.35784,-0.69394,-0.27977,0.66443,0.24166,0.28482,261.87568426092145
-0.82828,1.11865,-0.21317,0.2232,1.43016,-1.32038,1.06803,-0.01878,0.01348,0.73446,-1.01237,-2.24096,47.46008699578424
-1.89192,0.92992,0.36863,-1.82857,0.24551,-0.08043,0.45157,0.50753,-1.42799,0.31538,0.65322,0.60964,-274.02766258573354
1.12737,0.03581,0.76401,0.01356,1.49557,-0.4101,-1.16021,0.14629,2.96098,0.17901,0.60036,1.06861,247.18043490958922
1.19554,0.12722,-0.70471,0.08475,0.47553,1.17664,0.6195,-0.70715,-0.31246,-0.02954,-0.49332,0.09597,162.34951892148547
-1.78456,1.00369,0.45772,0.18401,-0.97486,-0.85038,-1.71777,-0.55858,0.10707,-0.28196,-0.93924,-1.37363,-257.5866617655114
-0.65104,-0.74287,-0.15934,-1.25237,-1.22466,0.31713,0.22613,1.23908,1.16496,-1.41337,-1.42004,0.79891,-256.6791122283597
1.05586,-1.1393,-0.32948,-0.06715,0.56226,-1.28067,-0.55092,0.56246,-0.72358,0.8345,0.89646,0.42991,156.6133421157694
-0.33129,-1.93708,-0.19939,-0.18997,-0.94608,-1.40089,-0.07065,-0.17815,0.64903,-1.41657,1.25642,-1.60509,-117.02860656561148
-0.4571,-0.92388,-3.12352,-1.07519,0.47382,-2.47374,-0.86082,0.63199,0.72405,0.32745,0.4926,-1.33918,-66.40988393366273
1.4715,-0.12844,1.31177,-0.7716,-0.0071,-0.94207,0.12416,-0.10021,-1.29813,0.26239,0.78425,-1.23885,105.39602724080825
0.54086,0.44254,0.01826,0.7206,-2.33561,-0.9241,0.4502,0.68728,-0.25913,0.02088,-0.96,0.03712,-110.20435487219098
-0.17479,0.54093,2.06672,0.01614,-1.77127,-0.52371,1.99163,-0.11539,-0.89886,1.37188,0.19949,0.6861,-167.63382232636823
0.3453,1.748,-1.41548,0.59141,0.42584,-0.81461,-1.58184,-0.25452,-0.35184,1.57049,-0.49555,1.1811,103.92037284337557
0.44229,-1.02614,0.79938,-1.74574,-1.15551,-0.87699,0.62715,-0.39796,0.54026,-0.63923,-0.4647,-0.97176,-164.78112376435632
-0.62785,-1.64884,0.49575,0.68073,0.93796,-0.43086,-0.63798,1.84925,0.46237,-0.30474,-0.64677,1.84349,55.480735789851735
1.0852,1.92791,-0.26854,-1.35434,-1.05735,1.95473,-0.64178,0.22883,0.92776,1.13624,0.4056,-0.68137,-62.06867401268141
0.83154,0.00254,-0.0706,-1.24085,0.21371,0.50767,2.23741,0.19569,-0.2186,0.3845,1.76731,-3.21118,38.86894361856038
2.22327,1.21801,-0.74338,1.30475,1.11004,0.53426,1.42205,0.9881,-0.27537,0.18683,1.58295,0.09707,408.71152263358294
0.0667,-2.32351,0.70435,-1.14831,-0.33881,0.22817,0.68824,1.40116,0.80158,-2.14602,-1.54931,-1.29848,-103.12885688193924
-0.60494,-2.72752,0.76395,0.53776,1.15543,0.92202,0.9753,1.00352,0.2537,0.73547,-1.96142,-0.65213,58.62437637188438
1.46128,-0.45183,-0.95675,-0.12586,1.0461,0.89896,-0.55173,-0.74375,0.75436,1.34212,0.30981,-0.01506,231.17509222140342
-0.4354,-0.53002,1.63016,-1.68865,1.23661,0.96559,-1.31757,-0.46159,0.08877,1.5197,0.82305,-0.03378,-32.997688637554546
-0.27542,-0.19087,0.7823,0.51323,-1.11939,-0.63568,0.18689,-1.97246,-0.39267,0.1524,0.51308,0.74918,-89.00515029556988
